Simulation,Nb_agents,Gamma,Alpha,Beta,Blue_time,Red_time,Final_time
50,12,0.005,5.0,2.0,4.75,180.0,184.75
3,12,0.005,5.0,2.0,4.4,7.4,11.8
50,12,0.005,5.0,2.0,4.75,180.0,184.75
3,12,0.005,5.0,2.0,4.4,7.4,11.8
50,12,0.005,5.0,2.0,4.75,180.0,184.75
3,12,0.005,5.0,2.0,4.4,7.4,11.8
50,12,0.005,5.0,2.0,4.75,180.0,184.75
3,12,0.005,5.0,2.0,4.4,7.4,11.8
50,12,0.005,5.0,2.0,4.75,180.0,184.75
3,12,0.005,5.0,2.0,4.4,7.4,11.8
50,12,0.005,5.0,2.0,4.75,180.0,184.75
3,12,0.005,5.0,2.0,4.4,7.4,11.8
50,12,0.005,5.0,2.0,4.75,180.0,184.75
3,12,0.005,5.0,2.0,4.4,7.4,11.8
50,12,0.005,5.0,2.0,4.75,180.0,184.75
25,12,0.005,5.0,2.0,3.85,6.7,10.55
16,13,0.005,5.0,2.0,3.4000000000000004,6.9,10.3
16,13,0.005,5.0,2.0,3.4000000000000004,6.9,10.3
16,13,0.005,5.0,2.0,3.4000000000000004,6.9,10.3
16,13,0.005,5.0,2.0,3.4000000000000004,6.9,10.3
16,13,0.005,5.0,2.0,3.4000000000000004,6.9,10.3
16,13,0.005,5.0,2.0,3.4000000000000004,6.9,10.3
16,13,0.005,5.0,2.0,3.4000000000000004,6.9,10.3
